"subject","condition","cond_order","rating","frequency","duration","delay"
"39","BaselineDelay",11,1,"36","450","3"
"39","Baseline",12,0,"36","450","0"
"40","JumboLonger",1,-2,"36","4050","0"
"40","BaselineDelay",2,4,"36","450","3"
"40","LongerDelay",3,5,"36","1350","3"
"40","More",4,8,"108","450","0"
"40","NoneDelay",5,-3,"0","0","3"
"40","Longer",6,2,"36","1350","0"
"40","JumboMoreDelay",7,9,"324","450","3"
"40","JumboMore",8,8,"324","450","0"
"40","MoreDelay",9,6,"108","450","3"
"40","JumboLongDelay",10,-3,"36","4050","3"
"40","Baseline",11,3,"36","450","0"
"40","None",12,-4,"0","0","0"
